Date,Transaction ID,Contest Name,Category,Sub-Category,Product Code,Product Name,Brand Code,Brand Name,Type,MRP,Order Quantity,Order Value,Starpoints Redeemed,Status,Mobile Number,Email ID
06-01-2022,OD000000042,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
06-01-2022,OD000000043,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
06-01-2022,OD000000044,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
31-01-2022,OD000000045,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
01-02-2022,OD000000046,HDFC Bank Pvt. Ltd.,new category,new sub category,KLKKK361,Up to 20% Savings on Medicines,ZEE1911,Zee5 Subscription,Deal,1000,1,1000,10000,In Progress,7795641909,ashwini@nighthack.in
02-02-2022,OD000000047,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
02-02-2022,OD000000048,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
02-02-2022,OD000000049,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
02-02-2022,OD000000050,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
02-02-2022,OD000000051,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
02-02-2022,OD000000052,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
02-02-2022,OD000000053,HDFC Bank Pvt. Ltd.,new category,new sub category,RIL,Relience Digital Shopping,KKKKK,new band,Rule,300,1,300,3000,Completed,7795641909,ashwini@nighthack.in
